index,Range
2256,49
2257,39
2258,49
2259,41
2260,31
2261,41
2262,44
2263,32
2264,44
2265,43
2266,31
2267,41
2268,41
2269,33
2270,41
2271,43
2272,38
2273,43
2274,53
2275,41
2276,53
2277,41
2278,29
2279,29
2280,53
2281,32
2282,44
2283,41
2284,31
2285,41
2286,48
2287,36
2288,48
2289,50
2290,43
2291,50
2292,43
2293,34
2294,43
2295,36
2296,33
2297,36
2298,41
2299,32
2300,41
2301,46
2302,37
2303,46
2304,40
2305,34
2306,38
2307,36
2308,36
2309,35
2310,40
2311,43
2312,29
2313,43
2314,36
2315,34
2316,36
2317,36
2318,43
2319,36
2320,36
2321,36
2322,39
2323,34
2324,36
2325,41
2326,32
2327,31
2328,43
2329,24
2330,51
2331,43
2332,42
2333,51
2334,31
2335,40
2336,31
2337,40
2338,36
2339,36
2340,34
2341,34
2342,34
2343,45
2344,45
2345,33
2346,33
2347,44
2348,44
2349,41
2350,53
2351,53
2352,33
2353,33
2354,33
2355,33
2356,33
2357,39
2358,39
2359,35
2360,43
2361,43
2362,35
2363,35
2364,34
2365,43
2366,43
2367,45
2368,38
2369,45
2370,45
2371,36
2372,45
2373,34
2374,41
2375,41
2376,24
2377,17
2378,51
2379,41
2380,41
2381,41
2382,48
2383,26
2384,36
2385,36
2386,36
2387,48
2388,38
2389,33
2390,47
2391,38
2392,38
2393,45
2394,45
2395,43
2396,24
2397,43
2398,48
2399,48
2400,41
2401,48
2402,41
2403,41
2404,43
2405,24
2406,43
2407,43
2408,39
2409,46
2410,34
2411,43
2412,39
2413,41
2414,41
2415,43
2416,19
2417,46
2418,34
2419,19
2420,18
2421,21
2422,24
2423,55
2424,55
2425,41
2426,48
2427,26
2428,51
2429,51
2430,37
2431,48
2432,26
2433,46
2434,46
2435,35
2436,46
2437,36
2438,38
2439,38
2440,36
2441,35
2442,34
2443,38
2444,33
2445,39
2446,36
2447,36
2448,39
2449,31
2450,41
2451,39
2452,36
2453,40
2454,31
2455,31
2456,41
2457,39
2458,41
2459,40
2460,36
2461,36
2462,33
2463,31
2464,41
2465,41
2466,34
2467,37
2468,41
2469,41
2470,36
2471,38
2472,38
2473,41
2474,31
2475,41
2476,36
2477,36
2478,36
2479,36
2480,41
2481,41
2482,34
2483,38
2484,37
2485,44
2486,39
2487,41
2488,41
2489,39
2490,39
2491,32
2492,37
2493,39
2494,43
2495,43
2496,43
2497,36
2498,20
2499,36
2500,36
2501,36
2502,38
2503,38
2504,35
2505,38
2506,40
2507,40
2508,33
2509,40
2510,31
2511,34
2512,33
2513,34
2514,17
2515,34
2516,33
2517,34
2518,34
2519,31
2520,34
2521,34
2522,36
2523,38
2524,38
2525,38
2526,36
2527,34
2528,43
2529,38
2530,38
2531,38
2532,26
2533,38
2534,48
2535,48
2536,41
2537,40
2538,45
2539,45
2540,41
2541,33
2542,38
2543,38
2544,39
2545,34
2546,41
2547,41
2548,41
2549,34
2550,41
2551,41
2552,37
2553,41
2554,41
2555,32
2556,41
2557,34
2558,36
2559,41
2560,43
2561,43
2562,31
2563,40
2564,43
2565,43
2566,43
2567,25
2568,39
2569,36
2570,36
2571,34
2572,41
2573,32
2574,33
2575,31
2576,33
2577,31
2578,33
2579,29
2580,37
2581,37
2582,33
2583,39
2584,39
2585,35
2586,29
2587,36
2588,29
2589,34
2590,33
2591,36
2592,36
2593,33
2594,29
2595,38
2596,34
2597,37
2598,39
2599,28
2600,39
2601,36
2602,34
2603,27
2604,34
2605,34
2606,36
2607,32
2608,33
2609,36
2610,38
2611,34
2612,33
2613,38
2614,35
2615,28
2616,35
2617,35
2618,33
2619,28
2620,33
2621,33
2622,36
2623,34
2624,33
2625,36
2626,36
2627,29
2628,36
2629,34
2630,33
2631,26
2632,26
2633,33
2634,38
2635,38
2636,31
2637,33
2638,38
2639,34
2640,31
2641,34
2642,34
2643,35
2644,30
2645,35
2646,35
2647,36
2648,36
2649,29
2650,36
2651,36
2652,31
2653,36
2654,34
2655,33
2656,27
2657,33
2658,31
2659,31
2660,26
2661,31
2662,31
2663,33
2664,30
2665,33
2666,33
2667,33
2668,29
2669,33
2670,33
2671,36
2672,33
2673,36
2674,36
2675,31
2676,29
2677,31
2678,31
2679,34
2680,27
2681,34
2682,34
2683,33
2684,28
2685,33
2686,33
2687,46
2688,39
2689,39
2690,36
2691,22
2692,46
2693,41
2694,37
2695,46
2696,38
2697,32
2698,26
2699,24
2700,24
2701,22
2702,30
2703,28
2704,27
2705,26
2706,50
2707,36
2708,41
2709,41
2710,45
2711,45
2712,38
2713,38
2714,45
2715,50
2716,36
2717,43
2718,43
2719,43
2720,43
2721,35
2722,38
2723,43
2724,48
2725,34
2726,41
2727,43
2728,50
2729,34
2730,34
2731,36
2732,32
2733,37
2734,37
2735,36
2736,36
2737,35
2738,35
2739,35
2740,33
2741,38
2742,38
2743,38
2744,44
2745,32
2746,27
2747,32
2748,31
2749,38
2750,38
2751,12
2752,38
2753,48
2754,33
2755,33
2756,31
2757,28
2758,29
2759,20
2760,29
2761,20
2762,31
2763,22
2764,31
2765,22
2766,28
2767,21
2768,28
2769,21
2770,33
2771,28
2772,33
2773,28
2774,29
2775,22
2776,29
2777,22
2778,31
2779,23
2780,31
2781,23
2782,31
2783,19
2784,31
2785,19
2786,28
2787,19
2788,28
2789,19
2790,31
2791,22
2792,32
2793,22
2794,31
2795,24
2796,32
2797,22
2798,32
2799,22
2800,31
2801,31
2802,29
2803,34
2804,34
2805,36
2806,44
2807,46
2808,41
2809,41
2810,14
2811,50
2812,43
2813,50
2814,50
2815,24
2816,43
2817,41
2818,48
2819,48
2820,24
2821,43
2822,41
2823,45
2824,45
2825,19
2826,45
2827,41
2828,45
2829,17
2830,45
2831,41
2832,45
2833,46
2834,39
2835,18
2836,43
2837,43
2838,43
2839,24
2840,43
2841,26
2842,43
2843,43
2844,22
2845,45
2846,41
2847,50
2848,50
2849,36
2850,36
2851,20
2852,41
2853,41
2854,41
2855,18
2856,46
2857,40
2858,46
2859,29
2860,55
2861,43
2862,46
2863,24
2864,53
2865,45
2866,50
2867,24
2868,53
2869,45
2870,50
2871,46
2872,41
2873,24
2874,50
2875,45
2876,41
2877,50
2878,31
2879,34
2880,34
2881,36
2882,36
2883,31
2884,31
2885,32
2886,33
2887,33
2888,36
2889,36
2890,31
2891,36
2892,34
2893,31
2894,28
2895,29
2896,31
2897,27
2898,31
2899,31
2900,29
2901,34
2902,32
2903,31
2904,32
2905,34
2906,27
2907,31
2908,29
2909,24
2910,48
2911,38
2912,52
2913,17
2914,53
2915,41
2916,41
2917,50
2918,48
2919,53
2920,20
2921,47
2922,47
2923,35
2924,37
2925,35
2926,43
2927,17
2928,50
2929,43
2930,43
2931,50
2932,50
2933,26
2934,50
2935,50
2936,36
2937,50
2938,45
2939,45
2940,45
2941,47
2942,47
2943,50
2944,36
2945,36
2946,36
2947,21
2948,55
2949,55
2950,41
2951,42
2952,50
2953,50
2954,46
2955,40
2956,43
2957,46
2958,46
2959,19
2960,46
2961,46
2962,31
2963,37
2964,37
2965,39
2966,10
2967,40
2968,33
2969,31
2970,40
2971,40
2972,21
2973,47
2974,47
2975,35
2976,35
2977,26
2978,35
